206,gumgum,toyota,2018-04-19 14:42:00,2018-04-19 14:47:00,0:05,
207,pf,orders,2018-04-19 7:00:00,2018-04-19 7:23:00,0:23,
208,evk,website,2018-04-19 7:38:00,2018-04-19 12:24:00,4:46,
209,gumgum,acura,2018-04-20 10:10:00,2018-04-20 11:38:00,1:28,
210,gumgum,mitsubishi,2018-04-20 11:39:00,2018-04-20 12:02:00,0:23,
211,evk,photoshoot,2018-04-20 12:03:00,2018-04-20 15:41:00,3:38,
212,evk,website,2018-04-20 6:48:00,2018-04-20 8:07:00,1:19,
213,gumgum,honda,2018-04-20 8:25:00,2018-04-20 10:09:00,1:44,
214,toyota denver,may updates,2018-04-23 10:29:00,2018-04-23 12:30:00,2:01,
215,honda,fit,2018-04-23 12:30:00,2018-04-23 13:55:00,1:25,
216,ets,ca state ,2018-04-23 14:13:00,2018-04-23 14:29:00,0:16,
217,jkb,manteca phone,2018-04-23 14:29:00,2018-04-23 14:33:00,0:04,
218,q2,sitemap,2018-04-23 14:38:00,2018-04-23 15:14:00,0:36,
219,gumgum,acura,2018-04-23 7:55:00,2018-04-23 9:10:00,1:15,
220,gumgum,toyota may,2018-04-23 9:11:00,2018-04-23 9:42:00,0:31,
221,pf,orders,2018-04-23 9:46:00,2018-04-23 1:28:00,-8:18,
222,evk,photo processing,2018-04-24 10:30:00,2018-04-24 11:24:00,0:54,
223,gumgum,toyota denver,2018-04-24 10:33:00,2018-04-24 10:38:00,0:05,
224,q2,sitemap,2018-04-24 11:25:00,2018-04-24 12:49:00,1:24,
225,acc,content review,2018-04-24 12:50:00,2018-04-24 14:07:00,1:17,
226,evk,insert photos,2018-04-24 14:08:00,2018-04-24 14:24:00,0:16,
227,gumgum,acura,2018-04-24 6:52:00,2018-04-24 7:41:00,0:49,
228,gumgum,toyota may sales,2018-04-24 7:43:00,2018-04-24 10:32:00,2:49,
229,jkb,portello files,2018-04-25 10:39:00,2018-04-25 11:38:00,0:59,
230,evk,photoshoot,2018-04-25 12:00:00,2018-04-25 12:36:00,0:36,
231,gumgum,toyota may sales,2018-04-25 12:37:00,2018-04-25 13:29:00,0:52,
232,evk,recipes,2018-04-25 13:31:00,2018-04-25 13:52:00,0:21,
233,gumgum,acura,2018-04-25 13:52:00,2018-04-25 14:12:00,0:20,
234,evk,recipes,2018-04-25 14:13:00,2018-04-25 14:42:00,0:29,
235,gumgum,honda,2018-04-25 14:44:00,2018-04-25 15:07:00,0:23,
236,gumgum,honda,2018-04-25 7:10:00,2018-04-25 8:07:00,0:57,
237,gumgum,toyota denver,2018-04-25 8:07:00,2018-04-25 10:38:00,2:31,
238,ami,seo report,2018-04-26 10:20:00,2018-04-26 11:02:00,0:42,
239,evk,website,2018-04-26 13:33:00,2018-04-26 14:05:00,0:32,
240,q2,sitemap,2018-04-26 14:05:00,2018-04-26 14:33:00,0:28,
241,evk,responsive,2018-04-26 6:38:00,2018-04-26 7:09:00,0:31,
242,gumgum,toyota may sales,2018-04-26 7:17:00,2018-04-26 9:12:00,1:55,
243,gumgum,honda fit,2018-04-26 9:13:00,2018-04-26 13:33:00,4:20,
244,e360,website design review,2018-04-03 10:08:00,2018-04-03 10:25:00,0:17,
245,q2,content review,2018-04-03 10:27:00,2018-04-03 14:14:00,3:47,
246,simple legal,reply,2018-04-03 6:48:00,2018-04-03 7:44:00,0:56,
247,jenjil,update equipment layout,2018-04-03 7:51:00,2018-04-03 8:08:00,0:17,
248,ami,SEO Update,2018-04-03 9:32:00,2018-04-03 10:07:00,0:35,
249,evk,locator,2018-04-04 13:33:00,2018-04-04 13:55:00,0:22,at a discount to mak eup for mismanagement
250,ami,text update,2018-04-04 13:55:00,2018-04-04 15:01:00,1:06,Quote - if US show State
251,evk,selector,2018-04-04 14:23:00,2018-04-04 14:30:00,0:07,
252,pf,orders,2018-04-04 6:37:00,2018-04-04 6:43:00,0:06,
253,jenjil,final updates,2018-04-04 6:44:00,2018-04-04 13:29:00,6:45,bill this plus 24.35 hrs for previous work
254,self,price change,2018-04-05 10:43:00,2018-04-05 10:52:00,0:09,
255,ami,quote form update,2018-04-05 10:52:00,2018-04-05 11:55:00,1:03,
256,e360,pricing wireframe,2018-04-05 12:18:00,2018-04-05 13:24:00,1:06,
257,evk,Sergio,2018-04-05 13:34:00,2018-04-05 14:26:00,0:52,
258,ami,quote form,2018-04-05 6:32:00,2018-04-05 8:01:00,1:29,
259,q2,responses,2018-04-05 8:01:00,2018-04-05 9:30:00,1:29,
260,midtown,name change,2018-04-06 13:03:00,2018-04-06 13:32:00,0:29,
261,gumgum,jeep grand cherokee,2018-04-06 13:33:00,2018-04-06 14:40:00,1:07,
262,gumgum,jeep grand cherokee,2018-04-06 7:09:00,2018-04-06 7:14:00,0:05,
263,jenjil,website launch,2018-04-06 7:19:00,2018-04-06 11:30:00,4:11,Not billed - launch labor included in original contract
264,gumgum,jeep,2018-04-09 13:18:00,2018-04-09 14:18:00,1:00,
265,q2,conf call,2018-04-09 13:25:00,2018-04-09 14:15:00,0:50,
266,gumgum ,jeep,2018-04-09 14:15:00,2018-04-09 14:20:00,0:05,
267,ets,live class,2018-04-09 14:54:00,2018-04-09 15:12:00,0:18,
268,pf,orders,2018-04-09 6:35:00,2018-04-09 6:57:00,0:22,
269,gumgum,jeep,2018-04-09 7:06:00,2018-04-09 7:44:00,0:38,
270,gumgum,acura,2018-04-09 7:45:00,2018-04-09 12:26:00,4:41,
276,jkb,portello photos,2018-05-01 12:27:13,2018-05-01 12:36:32,0.15,notes
278,gumgum,acura rdx,2018-05-01 12:37:32,2018-05-01 14:51:32,2.23,canvas animation
